id,Russian

dialog.nothing, Ничего интересного
dialog.cantway, Похоже, здесь нельзя пройти
dialog.empty, Пусто

------------,------------

mission.name.find_sword, Найти затерянный клинок
mission.name.kill_demon, Победить Демона
mission.name.perfect_sphere, Найти Совершенную Сферу

mission.name.trap, Освобождение
mission.name.mechanic, Найти Механика
mission.name.echo, Эхо


mission.info.find_sword, У Мастера есть сведения, что в разрушенном Синем Замке спрятано оружие, которое поможет в битве с Демоном
mission.info.kill_demon, Объединившись с Мастером, вы решаете бросить вызов Демону. Правда, перед этим предстоит проделать большой путь
mission.info.perfect_sphere, Есть Легенда о Совершенной Сфере, что скрыта за всеми Печатями. Только истинный искатель сможет найти её

mission.info.trap, Вы оказались в ловушке. Нужно выбираться отсюда!
mission.info.mechanic, По словам Мастера, Механик должен сыграть важную роль в победе над Демоном. В последний раз Механика видели на Разрушенном Мосту
mission.info.echo, Оказалось, что Механик мёртв. Но вам удалось спасти Розу - его ученицу. Выберитесь из Пещер, чтобы рассказать всё Мастеру